Course,URL,instructor,Price (full),Price (discount),Rank
Past Lives Diploma - Exploring The Past To Heal The Present,www.udemy.com/course/past-lives-explore-the-past-to-heal-the-present/,Dr Karen E Wells,€94.99,€12.59,Rating: 4.6 out of 54.6 - (777)
Modern Productivity — Superhuman Focus In A Distracted World,www.udemy.com/course/modern-productivity/,Brad Merrill,€189.99,€12.59,"Rating: 4.6 out of 54.6 - (1,771)"
Acumen Presents: Seth Godin's Leadership Workshop,www.udemy.com/course/seth-godins-leadership-workshop/,"+Acumen Courses, Seth Godin",€179.99,€45.00,"Rating: 4.3 out of 54.3 - (2,907)"
Technical Analysis Stock Trading -Practice Assignment Course,www.udemy.com/course/technical-analysis-masterclass-practice-assignments-course/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis",€199.99,€11.99,Rating: 4.7 out of 54.7 - (198)
CBT Cognitive Behavior Therapy Life Coaching Certification,www.udemy.com/course/cbt-cognitive-behavioral-coach-practitioner-certification/,Patrick Howell,€199.99,€11.99,Rating: 4.6 out of 54.6 - (879)
Fully Accredited Professional Child Psychology Diploma,www.udemy.com/course/fully-accredited-professional-child-psychology-diploma/,Dr Karen E Wells,€94.99,€11.99,Rating: 4.0 out of 54.0 - (257)
Communication Skills: Become A Superstar Communicator,www.udemy.com/course/communication-skills-become-a-superstar-communicator/,Kain Ramsay,€154.99,€11.39,Rating: 4.4 out of 54.4 - (580)
Mini Habit Mastery: The Scientific Way To Change Your Habits,www.udemy.com/course/mini-habit-mastery/,"Stephen Guise, Laura Avnaim",€119.99,€11.99,"Rating: 4.4 out of 54.4 - (1,562)"
Certified Hypnosis / Hypnotherapy Practitioner,www.udemy.com/course/certified-hypnosis-hypnotherapy-practitioner/,Matthew Barnett,€189.99,€11.39,Rating: 4.6 out of 54.6 - (68)
Remove Blocks to Psychic Power with Past Life Therapy,www.udemy.com/course/pastliferegressionforpsychicdevelopment/,Sal Jade,€49.99,€11.99,"Rating: 4.7 out of 54.7 - (1,271)"
Reiki Space Clearing Certification - Energy Healing a Place,www.udemy.com/course/reiki-space-clearing/,Melissa Crowhurst,€104.99,€11.99,Rating: 4.7 out of 54.7 - (428)
Professional Advanced Angelic Healing Practitioner Course,www.udemy.com/course/certified-advanced-angelic-healing-practitioner-diploma/,Tania Magdalene,"₩203,500","₩13,200","Rating: 4.8 out of 54.8 - (1,185)"
The Complete Options Trading Course (New 2020),www.udemy.com/course/the-complete-options-trading-course/,Wealthy Education,"₩220,000","₩13,200",Rating: 4.3 out of 54.3 - (447)
Pitch Yourself! Learn to Ignite Curiosity + Inspire Action.,www.udemy.com/course/market-your-message-ignite-curiosity-inspire-action/,Alexa Fischer,"₩49,500","₩13,200",Rating: 4.4 out of 54.4 - (635)
AMERICAN ACCENT: Accent Reduction Made Easy,www.udemy.com/course/accent-reduction-american-english-speaking-made-easy/,Gabriel Burrafato,"₩110,000","₩13,200",Rating: 4.7 out of 54.7 - (238)
Definitive Spiritual Guide To Psychic Mediumship Development,www.udemy.com/course/definative-guide-to-mediumship/,Julian Jenkins,"₩44,000","₩13,200",Rating: 4.8 out of 54.8 - (422)
Reiki and Colour Therapy,www.udemy.com/course/reiki-and-colour-therapy/,"Lisa Powers, Libby Seery - Founder of Renaissance Life Therapies","₩220,000","₩13,200","Rating: 4.5 out of 54.5 - (1,012)"
"Emotional Intelligence: Master Anxiety, Fear, & Emotions",www.udemy.com/course/master-your-emotions-uncertainty-stress-anxiety-and-fear/,"Joeel & Natalie Rivera, Transformation Academy ™","₩148,500","₩13,200","Rating: 4.2 out of 54.2 - (1,067)"
Train Your Brain: Practical Guide To Stimulate Your Neurons,www.udemy.com/course/neurogenesis/,Gregory Caremans - Brain Academy,"₩165,000","₩13,200",Rating: 4.6 out of 54.6 - (362)
Influence People with Persuasion Psychology,www.udemy.com/course/psychology-influence/,"Andrew Luttrell, Ph.D.","₩159,500","₩13,200",Rating: 4.3 out of 54.3 - (785)
Freight Broker Training,www.udemy.com/course/ervingslogistics/,Andre Erving,"₩220,000","₩13,200",Rating: 4.6 out of 54.6 - (586)
"Certified Master of Shamanic Journeying, Ritual & Ceremony",www.udemy.com/course/master-advanced-shamanic-journeying-ceremony-and-ritual/,"Sharon Ramel, F T A","₩170,500","₩13,200",Rating: 4.8 out of 54.8 - (116)
The Complete SEO Training Masterclass 2020,www.udemy.com/course/complete-seo-training-masterclass/,Robin & Jesper | Digital Marketing Professionals,"₩220,000","₩13,200",Rating: 4.5 out of 54.5 - (217)
Fully Accredited Master Hypnotherapist Diploma Course,www.udemy.com/course/fully-accredited-master-hypnotherapist-course/,Dr Karen E Wells,"₩104,500","₩13,200",Rating: 4.8 out of 54.8 - (398)
The Complete Dividend Investing Course (Updated 2020),www.udemy.com/course/how-to-value-dividend-stocks/,Wealthy Education,"₩220,000","₩13,200",Rating: 4.5 out of 54.5 - (522)
Arts Therapy : Arts Therapy For Self-Exploration (Part 2),www.udemy.com/course/art-and-colouring-for-adults/,Libby Seery - Founder of Renaissance Life Therapies,"₩220,000","₩13,200",Rating: 4.3 out of 54.3 - (895)
PowerShell version 5.1 and 6: Step-by-Step,www.udemy.com/course/powershell-51-and-6/,Kevin Brown,"₩220,000","₩13,200",Rating: 4.5 out of 54.5 - (309)
