Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Transform Your Photos with Adobe Lightroom & Photoshop,www.udemy.com/course/lightroom-photoshop-car-photography/,Moe Zainal,£34.99,£12.99,Rating: 4.6 out of 54.6 - (50),"[(/user/mohammedzainal/, Moe Zainal)]",Photography,Digital Photography,Photoshop,238,English,Learn the Secrets that will Transform your Photos & Make Your Images Pop using Photoshop & Lightroom,1/2019,01/27/20
Tabletop Photography,www.udemy.com/course/tabletop-photography/,McGunn Media,£39.99,£12.99,Rating: 3.8 out of 53.8 - (52),"[(/user/mcgunnmedia/, McGunn Media)]",Photography,Commercial Photography,Photography,806,English,A guide to taking your tabletop photography to the next level using simple tools.,12/2013,01/27/20
Create 3D Home Tours for Real Estate with Matterport,www.udemy.com/course/3d-matterport-home-tours-for-real-estate/,Steve Preston,£29.99,£12.99,Rating: 4.5 out of 54.5 - (10),"[(/user/steve-115/, Steve Preston)]",Photography,Photography Tools,Photography,41,English,Learn how to create an immersive 3D home tour experience for your real estate business using Matterport,4/2019,01/27/20
Wedding Videography: A Plan for Monetary Success,www.udemy.com/course/wedding-videography-a-plan-for-monetary-success/,Steve Oliver,£89.99,£12.99,Rating: 4.0 out of 54.0 - (12),"[(/user/steveoliver4/, Steve Oliver)]",Photography,Video Design,Videography,91,English,"Learn how to create stunning Wedding Films that will not only impress your clients, but raise your profits!",3/2018,01/27/20
Editing Masterful Videos with Soul in Adobe Premiere Pro,www.udemy.com/course/editing-masterful-videos-with-soul/,Dandan Liu,£99.99,£12.99,Rating: 4.8 out of 54.8 - (7),"[(/user/dandanliu/, Dandan Liu)]",Photography,Video Design,Video Editing,58,English,"The Complete 3 in 1 Package: How to edit with Premiere, craft strong stories, and constructively revise your edit",12/2019,01/27/20
Lightroom: The 3Cs of Retouching,www.udemy.com/course/camera-raw-10-step-system-for-retouching-photos/,Ahmed Shajee Aijazi,£99.99,£12.99,Rating: 4.8 out of 54.8 - (37),"[(/user/ahmedshajeeaijazi/, Ahmed Shajee Aijazi)]",Photography,Photography Tools,Photoshop Retouching,"3,220",English,A step-by-step system you can use to take your photos from boring to amazing in no time and get people to say 'wow!',2/2018,01/27/20
Night Photography Masterclass,www.udemy.com/course/night-photography-masterclass/,Mujahid ur Rehman,£79.99,£12.99,Rating: 4.2 out of 54.2 - (8),"[(/user/mujahid-ur-rehman/, Mujahid ur Rehman)]",Photography,Digital Photography,Night Photography,70,English,A to Z for Taking Stunning Night Shots,5/2019,01/27/20
Guerrilla Filmmaking: Learn How to Make a Short Film,www.udemy.com/course/film-school/,IFH Courses,£134.99,£12.99,Rating: 3.2 out of 53.2 - (72),"[(/user/b01ab0b4-4a3a-4f94-938c-92782a241d76/, IFH Courses)]",Photography,Video Design,Filmmaking,"4,116",English,Real World Video & Film School. Learn how to make & market your short film & video production from filmmaking pros!,7/2018,01/27/20
"Wedding Photography: Composition, Portraits & Posing",www.udemy.com/course/how-to-nail-portraits/,Teppo Haapoja,£59.99,£12.99,Rating: 4.1 out of 54.1 - (38),"[(/user/teppo-haapoja/, Teppo Haapoja)]",Photography,Commercial Photography,Posing,155,English,Helping you to nail your portrait session,3/2017,01/27/20
Digital Painterly,www.udemy.com/course/aniaphotodigitalpainterly/,Ania Krzymowska,0,£79.99,Rating: 4.8 out of 54.8 - (3),"[(/user/ania-krzymowska/, Ania Krzymowska)]",Photography,Digital Photography,Corel Painter,7,English,editing photographs into painterly style,10/2018,01/27/20
Wondershare Filmora:Learn Video Editing using Filmora 9,www.udemy.com/course/wondershare-filmora-learn-video-editing-using-filmora-9/,Vinod Kj,£19.99,£11.99,Rating: 4.5 out of 54.5 - (31),"[(/user/vinod-kj/, Vinod Kj)]",Photography,Video Design,Video Editing,"3,885",English,Learn your Video editing by using Wondershare Filmora 9. This tutorial will help you become a pro in video editing,6/2019,01/27/20
